,repository_name,language
92,ads-kerberos,C++
93,ads-service-downloader,TypeScript
94,ADU,PowerShell
95,advanced-formula-environment,
96,Advanced-Threat-Analytics,PowerShell
97,advancedsecurity,
98,AdventureWorksSkiApp,C#
99,AdversarialGMM,Python
100,advNLG,Python
101,AdvocacyPlatform,C#
102,adx-automotive-demos,Python
103,adx-query-charts,TypeScript
104,AEC-Challenge,
105,aed-blockchain-learn-content,
106,aed-content-nasa-su20,Jupyter Notebook
107,aed-external-learn-template,
108,aed-go-learn-content,
109,aed-learn-template,
110,aed-rust-learn-content,
111,aed-wonder-woman,Python
112,aerial_wildlife_detection,Python
113,affectbased,Python
114,AFUN-Demos,HTML
115,agdiag,C#
116,AGIC-Installer-assistant,PowerShell
117,agogosml,Python
118,ahds-inferno,Ruby
119,AHS-AppServiceDotNet,JavaScript
120,AI,Python
121,ai-at-edge,
122,AI-Chat-App-Hack,
123,AI-Developer-Plugin-for-Eclipse,
124,ai-edu,HTML
125,AI-For-Beginners,Jupyter Notebook
126,ai-for-startups-lab,
127,ai-freezer-azure,C#
128,ai-freezer-monitor,Jupyter Notebook
129,AI-Immersion-Workshop,Jupyter Notebook
130,ai-notebooks,Jupyter Notebook
131,ai-py-param-validation,Python
132,AI-Robot-Challenge-Lab,Python
133,ai-school-custom-vision-service-intro,C#
134,AI-System,Python
135,ai-utilities,Jupyter Notebook
136,ai.ed,TypeScript
137,AI2BMD,
138,ai4eutils,Jupyter Notebook
139,AI4FluidSimulations,C++
140,AIandJS,
141,AICentral,C#
142,aici,Rust
143,aicreator,Python
144,AIFluency,
145,AIForAccessibility-Samples,JavaScript
146,AIforEarth-API-Development,Jupyter Notebook
147,AIforEarth-API-Platform,Shell
148,AIforEarthDataSets,Jupyter Notebook
149,aiida-autocas,Python
150,aiida-dynamic-workflows,Python
151,aiida-nwchemex,Python
152,aiida-pyscf,Python
153,AIInstitute,HTML
154,ailab,C#
155,AirbandData,
156,AIReferenceArchitectures,
157,AirSim,C++
158,AirSim-Drone-Racing-Lab,Python
159,AirSim-Drone-Racing-Lab-Source,C++
160,AirSim-Drone-Racing-VAE-Imitation,Python
161,AirSim-NeurIPS2019-Drone-Racing,Python
162,AISchoolTutorials,C#
163,aisdkforsapabap,ABAP
164,AISkillsForWindows,
165,AIVisualProvision,C#
166,ajaxmin,C#
167,aka,
168,Akoustos,Jupyter Notebook
169,AKS-Arc-Apps,PowerShell
170,aks-dev-day,HTML
171,aks-ingress-contour-cert-manager-lets-encrypt,Shell
172,aks-postgre-keyrotation,Shell
173,AKSDeploymentTutorial,Jupyter Notebook
174,aksworkshop,CSS
175,AL,PowerShell
176,AL-Go,PowerShell
177,AL-Go-Actions,PowerShell
178,AL-Go-AppSource,PowerShell
179,AL-Go-AppSource-Preview,PowerShell
180,AL-Go-PTE,PowerShell
181,AL-Go-PTE-PPPreview,PowerShell
182,AL-Go-PTE-Preview,PowerShell
183,ALAppExtensions,AL
184,ALEX,C++
185,alguidelines,SCSS
186,AliveInLean,Lean
187,ALTA,C#
188,Alympics,Python
189,AmbariBasedHadoopExporter,C#
190,AMBROSIA,C#
191,Americas-Power-Platform-Global-Black-Belts,
192,amf0,Go
193,aml-acceleration-template,Python
194,aml-pipelines-demo,Python
195,amlFilesystem-lustre,C
196,amlFilesystem-tools,Shell
197,AMLSDKRModelsOperationalization,HTML
198,AMLWorkshop,Jupyter Notebook
199,AML_Interpret_usecases,Jupyter Notebook
200,AMOS,Python
201,amplify,Shell
202,AMRL-ICLR2020,Python
203,analysing_pii_leakage,Python
204,Analysis-Framework-for-TVM,Python
205,Analysis-Services,C#
206,analyzer-for-robot-teaching-demonstrations,Python
207,AnanthaRekha,C#
208,ANCE,Python
209,android-app-size-diff,TypeScript
210,android-samples,Kotlin
211,Angara,F#
212,Angara.Chart,F#
213,Angara.Flow,F#
214,Angara.Serialization,F#
215,Angara.Statistics,F#
216,Angara.Table,F#
217,angle,
218,angular-react,TypeScript
219,angular2-in-visual-studio,TypeScript
220,angular2-slickgrid,TypeScript
221,AngularLanguageServiceExtFeedback,
222,Annotation-Factory,Python
223,anomalydetector,Python
224,AnsibleLabs,Python
225,antares,C++
226,AnyContainer,C#
227,anymatch,JavaScript
228,aoai-enrichment,
229,aoai-logging-with-apim,C#
230,aoai-virtual-assistant,JavaScript
231,Apache-Provider,C++
232,apex,Python
233,api-extractor.com-website,SCSS
234,api-guidelines,
235,api.rushstack.io-website,
236,app-camp,JavaScript
237,app-center-app-react-native,JavaScript
238,app-center-app-shared,
239,app-center-app-xamarin,C#
240,app-dev-briefings,Java
241,App-Extensibility-Sample,C#
242,app-innovation-team,C#
243,app-innovation-workshop,C#
244,app-metadata,TypeScript
245,app-store-badge,TypeScript
246,app-store-vsts-extension,TypeScript
247,App-Templates,
248,appcenter,Shell
249,appcenter-build-scripts-examples,
250,appcenter-cli,TypeScript
251,appcenter-rest-python,Python
252,appcenter-sample-export,C#
253,appcenter-sampleapp-android,Java
254,appcenter-sampleapp-ios-swift,Swift
255,appcenter-sampleapp-macos-swift,Swift
256,appcenter-sampleapp-react-native,TypeScript
257,appcenter-sampleapp-tvos-swift,Swift
258,appcenter-sampleapp-xamarin,C#
259,appcenter-sdk-android,Java
260,appcenter-sdk-android-breakpad,C++
261,appcenter-sdk-apple,Objective-C
262,appcenter-sdk-cordova,Objective-C
263,appcenter-sdk-dotnet,C#
264,appcenter-sdk-react-native,JavaScript
265,appcenter-sdk-unity,C#
266,AppCenter-SDK-Unity-Extension,C#
267,AppCenter-Test-Appium-Java-Extensions,Java
268,AppCenter-Test-Espresso-Extensions,Java
269,AppCenter-Test-XCUITest-Extensions,Shell
270,appcenter-Xamarin.Forms-Gallery-Demo,C#
271,appcenter-Xamarin.UITest-Demo,C#
272,AppConsult-MSIXDevWorkshop,
273,AppConsult-Samples-MixedReality,C#
274,AppConsult-WinAppsModernizationWorkshop,C#
275,AppInsights.EnterpriseTelemetry,C#
276,AppInsights.EnterpriseTelemetry.AspNetCore.Extension,C#
277,appium,JavaScript
278,appium-windows-driver,JavaScript
279,apple-ux-guide,Swift
280,Application-Insights-Istio-Adapter,C#
281,Application-Insights-K8s-Codeless-Attach,TypeScript
282,Application-Insights-Workbooks,JSON
283,ApplicationInsights-Android,Java
284,applicationinsights-angularplugin-js,TypeScript
285,ApplicationInsights-Announcements,
286,ApplicationInsights-aspnetcore,C#
287,applicationinsights-channel-js,JavaScript
288,applicationinsights-core-js,JavaScript
289,ApplicationInsights-CPP,C++
290,ApplicationInsights-Docker,Java
291,ApplicationInsights-Docker-Dockerfile,Dockerfile
292,ApplicationInsights-dotnet,C#
293,ApplicationInsights-dotnet-logging,C#
294,ApplicationInsights-dotnet-server,C#
295,ApplicationInsights-Go,Go
296,ApplicationInsights-iOS,Objective-C
297,ApplicationInsights-Java,Java
298,ApplicationInsights-Java-Repros,Java
299,ApplicationInsights-JS,TypeScript
300,ApplicationInsights-JS-Mezzurite,HTML
301,ApplicationInsights-Kubernetes,C#
302,ApplicationInsights-LocalForwarder,C#
303,ApplicationInsights-node.js,TypeScript
304,ApplicationInsights-node.js-native-metrics,C++
305,ApplicationInsights-OSX,Objective-C
306,ApplicationInsights-PHP,PHP
307,ApplicationInsights-Profiler-AspNetCore,
308,ApplicationInsights-Python,Python
309,applicationinsights-react-js,JavaScript
310,applicationinsights-react-native,JavaScript
311,ApplicationInsights-Ruby,Ruby
312,ApplicationInsights-SAP-Fiori-Plugin,JavaScript
313,ApplicationInsights-SDK-Labs,C#
314,ApplicationInsights-ServiceFabric,C#
315,ApplicationInsights-SnapshotCollector,
316,ApplicationInsights-statsd,TypeScript
317,applicationinsights-vscode,
318,ApplicationInsights-WordPress,PHP
319,ApplicationInsights-Xamarin,C#
320,ApplicationInspector,C#
321,ApplicationInspector-Action,Shell
322,appliedai-rag101,Jupyter Notebook
323,AppliedRoboticsResearchLibrary,
324,AppModelSamples,
325,Appsample-Photosharing,C#
326,AppSource,
327,APRON,C
328,APSI,C++
329,APSINet,C#
330,APS_Query_Toolbox,
331,apt-package-function,Bicep
332,apt-transport-blob,Rust
333,aqa-tests,HTML
334,aqafer,
335,AR2,Python
336,aragog,C++
337,arc-sql-mi-db-operator,Go
338,arcade-background-scroll,TypeScript
339,arcade-block-objects,TypeScript
340,arcade-carnival,JavaScript
341,arcade-chaos-maze,TypeScript
342,arcade-character-animations,TypeScript
343,arcade-dom,TypeScript
344,arcade-forest-fire,TypeScript
345,arcade-grid,TypeScript
346,arcade-machine,TypeScript
347,arcade-machine-react,TypeScript
348,arcade-minimap,TypeScript
349,arcade-platformer,TypeScript
350,arcade-sprite-data,TypeScript
351,arcade-storytelling,TypeScript
352,arcade-swarm-animation,TypeScript
353,arcade-text,TypeScript
354,arcade-tile-util,TypeScript
355,arcade-timers,TypeScript
356,arcade-tutorial-extensions,JavaScript
357,arcana.cpp,C++
358,archai,Python
359,archived-confidential-sidecar-containers,Go
360,ArchProbe,C++
361,arcticseals,Jupyter Notebook
362,ardiffact,TypeScript
363,ArduinoHidForWindows,C++
364,ARI,PowerShell
365,ark,C++
366,arm-debug-deployment-cleanup,PowerShell
367,Armada,C#
368,aroundtheclock,
369,aroworkshop,SCSS
370,arr-grasp-type-recognition,Python
371,art,TypeScript
372,artifacts-credprovider,C#
373,artifacts-credprovider-conda,
374,artifacts-keyring,Python
375,ARXGEN,Python
376,ArxivFormula,Python
377,asclepius,Jupyter Notebook
378,asconnect,Python
379,ASDET,Jupyter Notebook
380,ASL-citizen-code,Python
381,aspnet-docker,Dockerfile
382,AspNetCore-React-WebApp,C#
383,AspNetCoreInjection.TypedFactories,C#
384,ASRDFD,C
385,asrr_tools,
386,assent-app,C#
387,assessment,C#
388,asset-bundle-stats,
389,ASTRA,Python
390,Asynchronous_impulse_response_measurement,MATLAB
391,ATA-Auditing,
392,ATAC,Python
393,Atlas,C#
394,atlas-design,SCSS
395,atp-edu,Jupyter Notebook
396,attacksimulationandtraining,PowerShell
397,AttackSurfaceAnalyzer,C#
398,Attestation-Client-Samples,C++
399,attested-fetch,C++
400,attribute-structuring,Python
401,audio,PowerShell
402,Audio-Manager-for-Unity,C#
403,audio-recorder,C#
404,AuditBuddy,C#
405,augmented-interpretable-models,Jupyter Notebook
406,aui-cli,Python
407,auoms-kits,Shell
408,Aura,Python
409,aurorabp-sample-data,Jupyter Notebook
410,AustraliaBuildingFootprints,
411,auteur,Rust
412,AuthJanitor,C#
413,Auto-Formula,
414,auto-github-docs-generator,Jupyter Notebook
415,Auto-retinoscopy,Python
416,auto-sys-ml-template,Python
417,Auto-Validate-by-History,Jupyter Notebook
418,AutoBrewML,Jupyter Notebook
419,autocomplete-search-box,TypeScript
420,AutoCrane,C#
421,autodistil,Python
422,autogen,Jupyter Notebook
423,automated-explanations,HTML
424,automatic-graph-layout,JavaScript
425,automatic-rule-induction,Python
426,AutoMoE,Python
427,AutoMS,C++
428,AutonomousDrivingCookbook,Jupyter Notebook
429,autorl-research,Python
430,autothrottle,Python
431,AVDAccelerator,
432,avml,Rust
433,AwaitAdapters,
434,awesome-js-tools,
435,ax-2012-doc-tools,HTML
436,AX2012ARMTemplates,
437,axe-pipelines-samples,TypeScript
438,axe-sarif-converter,TypeScript
439,axe-windows,C#
440,az-deep-batch-score,Jupyter Notebook
441,az-deep-realtime-score,Jupyter Notebook
442,az-ml-batch-score,Jupyter Notebook
443,az-ml-realtime-score,Jupyter Notebook
444,az-oai-chatgpt-streamlit-harness,Jupyter Notebook
445,az-partner-center-cli,Python
446,az-python,Python
447,az-sas-batch-scoring,Jupyter Notebook
448,AZ302_Eisenzimmer_2-14_SMCSTS,Jupyter Notebook
449,azcode,
450,azdata-extension-azdata,JavaScript
451,azdata-test,TypeScript
452,azdataGraph,JavaScript
453,AzDetectSuite,PowerShell
454,azdo-databricks,TypeScript
455,azdo-extension-team-randomizer,JavaScript
456,azfuse,Python
457,azhcicss,
458,azopsguide,
459,azPipeline-KubernetesUI-devopsExtension,TypeScript
460,azpipelines-kubernetesUI,TypeScript
461,azpipelines-kubernetesUI-WebApp,TypeScript
462,azserialconsole,
463,AzStackHCISandbox,PowerShell
464,azure-activedirectory-interactive-auth-library-for-java,HTML
465,azure-activedirectory-jwt-token-handler-for-dotnet,C#
466,Azure-Advanced-Threat-Protection,PowerShell
467,Azure-AI-Apps,
468,azure-ai-hands-on-training,Jupyter Notebook
469,azure-analysis-services-http-sample,C#
470,Azure-Analytics-and-AI-Engagement,Jupyter Notebook
471,azure-api-management-monetization,TypeScript
472,azure-app-configuration-se-extension,
473,azure-app-service-plugin,Java
474,azure-arc-jumpstart-apps,CSS
475,azure-architecture-solution-build-for-csa,
476,azure-artifacts-migration,PowerShell
477,azure-bidding-and-auction-services-demo,Shell
478,azure-blob-checksum-verification,Shell
479,azure-blockchain-connector,Go
480,azure-boards-automate-state-transitions,C#
481,azure-boards-estimate,TypeScript
482,azure-boards-estimate-backend,C#
483,azure-boards-split,TypeScript
484,azure-boards-vscode,TypeScript
485,azure-chat-for-java,Java
486,azure-cli,Python
487,azure-cli-extensions,Python
488,Azure-CloudAdoptionFramework-UnderstandingNetworking,PowerShell
489,azure-cloudera-vm-metrics-logging,Shell
490,azure-container-apps,
491,azure-cookbook,Ruby
492,azure-cosmos-db-sampler,Java
493,azure-cost-monitor,Python
494,azure-data-manager-for-energy-experience-lab,TypeScript
495,azure-data-manager-for-energy-power-bi-connector,
496,azure-data-services-go-fast-capability-assessment,
497,azure-data-services-go-fast-codebase,TSQL
498,azure-data-services-go-fast-codebase-es-dlz,
499,azure-data-services-go-fast-documentation,
500,Azure-Databricks-NYC-Taxi-Workshop,Scala
501,Azure-Databricks-Solution-Accelerator-Financial-Analytics-Customer-Revenue-Growth-Factor,Python
502,azure-databricks-sql-workshop-ja,Python
503,Azure-Datahub-Solution-Accelerator-for-Government-Recovery-Programs,Jupyter Notebook
504,Azure-DCAP-Client,C++
505,Azure-DDP,PowerShell
506,azure-dev-day,C#
507,azure-dev-day-java,HTML
508,azure-dev-experience--azure-devbox,Python
509,Azure-Dev-Experience-developer-environment-options,Python
510,azure-devops-analytics,TSQL
511,azure-devops-auth-samples,JavaScript
512,azure-devops-dotnet-samples,C#
513,azure-devops-engineering-extensions,TypeScript
514,azure-devops-extension-add-fields-with-refname,JavaScript
515,azure-devops-extension-api,TypeScript
516,azure-devops-extension-cascading-picklist,TypeScript
517,azure-devops-extension-hot-reload-and-debug,TypeScript
518,azure-devops-extension-sample,TypeScript
519,azure-devops-extension-sdk,TypeScript
520,azure-devops-extension-tasks,TypeScript
521,azure-devops-extension-yeoman-generator,TypeScript
522,azure-devops-go-api,Go
523,azure-devops-intellij,Java
524,azure-devops-node-api,TypeScript
525,azure-devops-python-api,Python
526,azure-devops-python-samples,Python
527,azure-devops-rust-api,Rust
528,azure-devops-symbols,TypeScript
529,azure-devops-tls12,PowerShell
530,azure-devops-ui-public,
531,azure-devops-wit-client-om-migration-guide,C#
532,Azure-DevOps-YAML-for-Unity,
533,azure-digital-twins-code-samples,
534,azure-digital-twins-java,Java
535,azure-digital-twins-postman-samples,
536,Azure-Edge-Solutions-Lab,Python
537,Azure-Employee-Network-Graph-Solution-Accelerator-with-MGDC,Jupyter Notebook
538,azure-gaming-devops,
539,azure-genai-design-patterns,Jupyter Notebook
540,azure-gradle-plugins,Java
541,azure-grpc-telemetry-pipeline,HCL
542,azure-health-AI-services-samples,
543,azure-health-data-services-toolkit,C#
544,azure-health-data-services-workshop,Bicep
545,Azure-ILB-hairpin,
546,Azure-Integration-Reports,
547,Azure-Invoice-Process-Automation-Solution-Accelerator,
548,azure-iot-central-esp32-sample,C++
549,azure-iot-developer-kit,
550,azure-iot-edge-cv-model-samples,Python
551,azure-iot-edge-jenkins-plugin,Java
552,azure-iot-edge-vsts-extension,JavaScript
553,azure-iothub-exporter,Go
554,Azure-Key-Vault-Plugin-gMSA,Smarty
555,Azure-Kinect-Samples,C
556,Azure-Kinect-Sensor-SDK,C++
557,azure-linux-automation,PowerShell
558,azure-linux-kernel,
559,azure-load-testing,
560,Azure-Managed-Instance-Link,PowerShell
561,azure-maven-archetypes,Scala
562,azure-maven-plugins,Java
563,azure-media-redactor-visualizer,C#
564,azure-mobile-apps-with-ionic,JavaScript
565,azure-netapp-files,
566,azure-nodejs-logpoints-docs,
567,Azure-Non-Fungible-Token-Solution-Accelerator,C#
568,Azure-ODSPMarketplace,
569,azure-openai-dev-skills-orchestrator,C#
